city_id,city_name,state_name
363,Navadwip,West Bengal
364,Kotdwara,Uttarakhand
365,Pilibhit,Uttar Pradesh
366,Alleppey,Kerala
367,Cuddalore,Tamil Nadu
368,Gondal,Gujarat
369,Deo,Bihar
370,Silchar,Assam
371,Chirala,Andhra Pradesh
372,Gadag,Karnataka
373,Tiruvannamalai,Tamil Nadu
374,Bidar,Karnataka
375,Jalalabad,Punjab
376,Nawsari,Gujarat
377,Valsad,Gujarat
378,Medinipur,West Bengal
379,Damoh,Madhya Pradesh
380,Haripur,Punjab
381,Neyveli,Tamil Nadu
382,Baramula,Jammu and Kashmir
383,Malkapur,Maharashtra
384,Jind,Haryana
385,Chandannagar,West Bengal
386,Adoni,Andhra Pradesh
387,Alasandigutta,Andhra Pradesh
388,Udipi,Karnataka
389,Fyzabad,Uttar Pradesh
390,Sawai Madhopur,Rajasthan
391,Tenali,Andhra Pradesh
392,Conjeeveram,Tamil Nadu
393,Madhubani,Bihar
394,Proddatur,Andhra Pradesh
395,Sultanpur Mazra,Delhi
396,Wapi,Gujarat
397,Godhra,Gujarat
398,Multai,Madhya Pradesh
399,Rajapalaiyam,Tamil Nadu
400,Pangzawl,Mizoram
401,Chittoor,Andhra Pradesh
402,Sivakasi,Tamil Nadu
403,Moga,Punjab
404,Budaun,Uttar Pradesh
405,Uttarpara,West Bengal
406,Daltonganj,Jharkhand
407,Bharuch,Gujarat
408,Saharsa,Bihar
409,Vidisha,Madhya Pradesh
410,Pathankot,Punjab
411,Nowgong,Assam
412,Thanesar,Haryana
413,Kishangarh,Rajasthan
414,Rudarpur,Uttarakhand
415,Tindwara,Uttar Pradesh
416,Nalgonda,Telangana
417,Ambikapur,Chhattisgarh
418,Dibrugarh,Assam
419,Veraval,Gujarat
420,Betul Bazar,Madhya Pradesh
421,Balurghat,West Bengal
422,Jorhat,Assam
423,Krishnanagar,West Bengal
424,Barakpur,West Bengal
425,Shantipur,West Bengal
426,Hindupur,Andhra Pradesh
427,Beawar,Rajasthan
428,Bhalswa Jahangirpur,Delhi
429,Erode,Tamil Nadu
430,Nangloi Jat,Delhi
431,Soro,Odisha
432,Nuzvid,Andhra Pradesh
433,Sitarganj,Uttarakhand
434,Hajipur,Bihar
435,Habra,West Bengal
436,Bir,Maharashtra
437,Amreli,Gujarat
438,Narnaul,Haryana
439,Chitaldrug,Karnataka
440,Etah,Uttar Pradesh
441,Abohar,Punjab
442,Kaithal,Haryana
443,Balasore,Odisha
444,Mallapalli,Kerala
445,Koiridih,Jharkhand
446,Shillong,Meghalaya
447,Rewari,Haryana
448,Hazaribagh,Jharkhand
449,Bhimavaram,Andhra Pradesh
450,Mandsaur,Madhya Pradesh
451,Villupuram,Tamil Nadu
452,Harchandpur,Uttar Pradesh
453,Kumbakonam,Tamil Nadu
454,Aul,Odisha
455,Kolar,Karnataka
456,Chicacole,Andhra Pradesh
457,Bankura,West Bengal
458,Mandya,Karnataka
459,Dehri,Bihar
460,Durgauti,Bihar
461,Mainpuri,Uttar Pradesh
462,Talaivasal,Tamil Nadu
463,Disa,Gujarat
464,Raigarh,Chhattisgarh
465,Siwan,Bihar
466,Kalol,Gujarat
